Transaction_ID,Transaction_Date,Location,Customer,Product_Service,Quantity,Unit_Price,Revenue,Sales_Rep,Status
ATL-10000,2026-03-04,Atlanta,Summit Financial,Implementation,1,6207.75,6207.75,Taylor Smith,Completed
ATL-10001,2026-01-09,Atlanta,Atlas Medical,Automation,1,5542.96,5542.96,Jordan Lee,Completed
ATL-10002,2026-05-24,Atlanta,Summit Financial,Consulting,5,3408.07,17040.35,Casey Brown,Pending
ATL-10003,2026-07-27,Atlanta,Atlas Medical,Consulting,4,3357.06,13428.24,Taylor Smith,Pending
ATL-10004,2026-07-15,Atlanta,Evergreen Retail,Support,3,810.96,2432.88,Jordan Lee,Completed
ATL-10005,2026-03-30,Atlanta,Redwood Operations,Data Services,1,3115.41,3115.41,Morgan Davis,Completed
ATL-10006,2026-04-07,Atlanta,Northstar Logistics,Data Services,5,2061.72,10308.6,Casey Brown,Completed
ATL-10007,2026-06-30,Atlanta,Northstar Logistics,Automation,3,5464.11,16392.33,Jordan Lee,Completed
ATL-10008,2026-08-10,Atlanta,Northstar Logistics,Support,1,2210.64,2210.64,Alex Johnson,Completed
ATL-10009,2026-04-01,Atlanta,,Data Services,3,2231.94,6695.82,Morgan Davis,Completed
ATL-10010,2026-03-04,Atlanta,Pioneer Manufacturing,Automation,2,5204.84,10409.68,Alex Johnson,Pending
ATL-10011,INVALID_DATE,Atlanta,Atlas Medical,Support,5,939.23,4696.15,Taylor Smith,Completed
ATL-10012,2026-02-24,Atlanta,Redwood Operations,Support,4,1035.48,4141.92,Morgan Davis,Completed
ATL-10013,2026-06-14,Atlanta,Crescent Health,Data Services,4,5481.07,21924.28,Taylor Smith,Completed
ATL-10014,2026-05-18,Atlanta,Blue Ridge Services,Consulting,2,3979.96,7959.92,Casey Brown,Pending
ATL-10015,2026-02-05,Atlanta,Oakline Partners,Automation,4,4171.98,16687.92,Alex Johnson,Completed
ATL-10016,2026-02-10,Atlanta,Vertex Technology,Implementation,1,3264.21,3264.21,Casey Brown,Completed
ATL-10017,2026-04-30,Atlanta,Oakline Partners,Data Services,4,4181.5,16726.0,,Cancelled
ATL-10018,2026-05-18,Atlanta,Blue Ridge Services,Implementation,1,5908.55,5908.55,Morgan Davis,Completed
ATL-10019,2026-01-01,Atlanta,Blue Ridge Services,Support,4,816.32,3265.28,Casey Brown,Completed
ATL-10020,2026-03-18,Atlanta,Oakline Partners,Automation,1,7223.11,7223.11,Casey Brown,Completed
ATL-10021,2026-05-19,Atlanta,Oakline Partners,Consulting,3,4050.04,12150.12,Jordan Lee,Cancelled
ATL-10022,2026-04-03,Atlanta,Blue Ridge Services,Support,4,538.95,2155.8,Taylor Smith,Completed
ATL-10023,2026-01-22,ATLANTA,Crescent Health,Consulting,5,4787.8,23939.0,Jordan Lee,Cancelled
ATL-10024,2026-05-21,Atlanta,Pioneer Manufacturing,Consulting,2,3639.0,7278.0,Morgan Davis,Cancelled
ATL-10025,2026-05-19,Atlanta ,Summit Financial,Automation,4,7786.18,31144.72,Morgan Davis,Pending
ATL-10026,2026-04-26,Atlanta,Northstar Logistics,Support,4,2299.23,9196.92,Taylor Smith,Completed
ATL-10027,2026-05-22,Atlanta,Summit Financial,Implementation,3,2605.17,7815.51,Casey Brown,Completed
ATL-10028,2026-01-16,Atlanta,Summit Financial,Implementation,1,6039.2,6039.2,Jordan Lee,Completed
ATL-10029,2026-03-13,Atlanta,Crescent Health,Support,1,1528.31,1528.31,Taylor Smith,Cancelled
ATL-10030,2026-03-04,Atlanta,Crescent Health,Consulting,5,3304.85,16524.25,Alex Johnson,Completed
ATL-10031,2026-04-01,Atlanta,Vertex Technology,Implementation,1,5794.91,5794.91,Alex Johnson,Pending
ATL-10032,2026-07-06,Atlanta,Evergreen Retail,Implementation,1,2803.06,2803.06,Jordan Lee,Completed
ATL-10033,2026-02-05,Atlanta,Vertex Technology,Consulting,2,3145.14,6290.28,Taylor Smith,Completed
ATL-10034,2026-01-20,Atlanta,Crescent Health,Data Services,2,5435.19,10870.38,Casey Brown,Completed
ATL-10035,2026-01-24,Atlanta,Summit Financial,Implementation,5,6680.14,33400.7,Taylor Smith,Pending
ATL-10036,2026-04-13,Atlanta,Atlas Medical,Data Services,4,2461.86,9847.44,Taylor Smith,Pending
ATL-10037,2026-07-20,Atlanta,Crescent Health,Implementation,4,3826.02,15304.08,Morgan Davis,Pending
